Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760635607,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760635608,100,,Aggregated,0.000000,0.000000,70,87,150,170,250,260,260,260,270,270,270,119,0,70,91.20840685717353,1.2242100001458311,265.94164900006945,25.0
1760635609,200,,Aggregated,0.000000,0.000000,70,110,170,180,250,280,300,310,310,310,310,283,0,70,98.64641184100687,0.8067240000855236,310.9303300002466,25.0
1760635610,300,,Aggregated,100.000000,0.000000,70,160,180,190,280,300,370,370,400,400,400,522,0,70,107.0806782126599,0.6647780001003412,396.0757149998244,25.0
1760635611,400,,Aggregated,123.500000,0.000000,92,180,210,270,300,390,480,500,630,630,630,754,0,91,138.24704254377923,0.6647780001003412,631.1703119999947,25.0
1760635612,500,,Aggregated,155.333333,0.000000,170,260,300,370,510,630,690,760,860,860,860,1019,0,170.0,213.24106805594442,0.6647780001003412,860.9886009999173,25.0
1760635613,600,,Aggregated,164.500000,0.000000,220,310,400,470,600,690,850,970,1100,1100,1100,1433,0,220.0,271.4705757564625,0.6647780001003412,1070.3459060000569,25.0
1760635614,700,,Aggregated,178.000000,0.000000,260,360,440,490,630,750,880,940,1100,1100,1100,1703,0,260.0,296.17651552907415,0.6647780001003412,1070.3459060000569,25.0
1760635615,800,,Aggregated,213.666667,0.000000,290,420,530,600,780,930,1100,1200,1400,1400,1400,1991,0,290.0,361.0782436418934,0.6647780001003412,1394.8170490002667,25.0
1760635616,900,,Aggregated,230.857143,0.000000,370,550,690,820,1100,1300,1600,1700,1800,1800,1800,2342,0,370.0,476.8830739474868,0.6647780001003412,1800.7168620001721,25.0
1760635617,1000,,Aggregated,232.625000,0.000000,390,610,780,900,1200,1500,1700,1800,2000,2100,2100,2494,0,390.0,521.8624366222989,0.6647780001003412,2076.4633429998867,25.0
1760635618,1000,,Aggregated,243.000000,0.000000,460,750,980,1100,1700,2100,2600,2700,2900,3000,3000,2772,0,460.0,676.2509332474798,0.6647780001003412,2958.146274000228,25.0
1760635619,1000,,Aggregated,242.400000,0.000000,530,890,1200,1400,2000,2400,2700,2800,3000,3100,3100,3088,0,530.0,791.1520806719597,0.6647780001003412,3060.93705100011,25.0
1760635620,1000,,Aggregated,251.000000,0.000000,640,1100,1500,1800,2500,2800,3200,3400,3800,3900,3900,3446,0,640.0,961.2376315560092,0.6647780001003412,3886.293949999981,25.0
1760635621,1000,,Aggregated,267.800000,0.000000,700,1200,1600,1900,2400,2800,3200,3400,3800,3900,3900,3716,0,700.0,1007.547573906622,0.6647780001003412,3886.293949999981,25.0
1760635622,1000,,Aggregated,282.500000,0.000000,770,1300,1700,1900,2500,2900,3200,3500,3800,3900,3900,3957,0,770.0,1057.8483052613124,0.6647780001003412,3886.293949999981,25.0
